x_left_m,y_left_m,x_center_m,y_center_m,x_right_m,y_right_m
-1.5,-25.0,0.0,-25.0,1.5,-25.0
-1.5,-24.6875,0.0,-24.6875,1.5,-24.6875
-1.5,-24.375,0.0,-24.375,1.5,-24.375
-1.5,-24.0625,0.0,-24.0625,1.5,-24.0625
-1.5,-23.75,0.0,-23.75,1.5,-23.75
-1.5,-23.4375,0.0,-23.4375,1.5,-23.4375
-1.5,-23.125,0.0,-23.125,1.5,-23.125
-1.5,-22.8125,0.0,-22.8125,1.5,-22.8125
-1.5,-22.5,0.0,-22.5,1.5,-22.5
-1.5,-22.1875,0.0,-22.1875,1.5,-22.1875
-1.5,-21.875,0.0,-21.875,1.5,-21.875
-1.5,-21.5625,0.0,-21.5625,1.5,-21.5625
-1.5,-21.25,0.0,-21.25,1.5,-21.25
-1.5,-20.9375,0.0,-20.9375,1.5,-20.9375
-1.5,-20.625,0.0,-20.625,1.5,-20.625
-1.5,-20.3125,0.0,-20.3125,1.5,-20.3125
-1.5,-20.0,0.0,-20.0,1.5,-20.0
-1.5,-19.6875,0.0,-19.6875,1.5,-19.6875
-1.5,-19.375,0.0,-19.375,1.5,-19.375
-1.5,-19.0625,0.0,-19.0625,1.5,-19.0625
-1.5,-18.75,0.0,-18.75,1.5,-18.75
-1.5,-18.4375,0.0,-18.4375,1.5,-18.4375
-1.5,-18.125,0.0,-18.125,1.5,-18.125
-1.5,-17.8125,0.0,-17.8125,1.5,-17.8125
-1.5,-17.5,0.0,-17.5,1.5,-17.5
-1.5,-17.1875,0.0,-17.1875,1.5,-17.1875
-1.5,-16.875,0.0,-16.875,1.5,-16.875
-1.5,-16.5625,0.0,-16.5625,1.5,-16.5625
-1.5,-16.25,0.0,-16.25,1.5,-16.25
-1.5,-15.9375,0.0,-15.9375,1.5,-15.9375
-1.5,-15.625,0.0,-15.625,1.5,-15.625
-1.5,-15.3125,0.0,-15.3125,1.5,-15.3125
-1.5,-15.0,0.0,-15.0,1.5,-15.0
-1.5,-14.6875,0.0,-14.6875,1.5,-14.6875
-1.5,-14.375,0.0,-14.375,1.5,-14.375
-1.5,-14.0625,0.0,-14.0625,1.5,-14.0625
-1.5,-13.75,0.0,-13.75,1.5,-13.75
-1.5,-13.4375,0.0,-13.4375,1.5,-13.4375
-1.5,-13.125,0.0,-13.125,1.5,-13.125
-1.5,-12.8125,0.0,-12.8125,1.5,-12.8125
-1.5,-12.5,0.0,-12.5,1.5,-12.5
-1.5,-12.1875,0.0,-12.1875,1.5,-12.1875
-1.5,-11.875,0.0,-11.875,1.5,-11.875
-1.5,-11.5625,0.0,-11.5625,1.5,-11.5625
-1.5,-11.25,0.0,-11.25,1.5,-11.25
-1.5,-10.9375,0.0,-10.9375,1.5,-10.9375
-1.5,-10.625,0.0,-10.625,1.5,-10.625
-1.5,-10.3125,0.0,-10.3125,1.5,-10.3125
-1.5,-10.0,0.0,-10.0,1.5,-10.0
-1.5,-9.6875,0.0,-9.6875,1.5,-9.6875
-1.5,-9.375,0.0,-9.375,1.5,-9.375
-1.5,-9.0625,0.0,-9.0625,1.5,-9.0625
-1.5,-8.75,0.0,-8.75,1.5,-8.75
-1.5,-8.4375,0.0,-8.4375,1.5,-8.4375
-1.5,-8.125,0.0,-8.125,1.5,-8.125
-1.5,-7.8125,0.0,-7.8125,1.5,-7.8125
-1.5,-7.5,0.0,-7.5,1.5,-7.5
-1.5,-7.1875,0.0,-7.1875,1.5,-7.1875
-1.5,-6.875,0.0,-6.875,1.5,-6.875
-1.5,-6.5625,0.0,-6.5625,1.5,-6.5625
-1.5,-6.25,0.0,-6.25,1.5,-6.25
-1.5,-5.9375,0.0,-5.9375,1.5,-5.9375
-1.5,-5.625,0.0,-5.625,1.5,-5.625
-1.5,-5.3125,0.0,-5.3125,1.5,-5.3125
-1.5,-5.0,0.0,-5.0,1.5,-5.0
-1.5,-4.6875,0.0,-4.6875,1.5,-4.6875
-1.5,-4.375,0.0,-4.375,1.5,-4.375
-1.5,-4.0625,0.0,-4.0625,1.5,-4.0625
-1.5,-3.75,0.0,-3.75,1.5,-3.75
-1.5,-3.4375,0.0,-3.4375,1.5,-3.4375
-1.5,-3.125,0.0,-3.125,1.5,-3.125
-1.5,-2.8125,0.0,-2.8125,1.5,-2.8125
-1.5,-2.5,0.0,-2.5,1.5,-2.5
-1.5,-2.1875,0.0,-2.1875,1.5,-2.1875
-1.5,-1.875,0.0,-1.875,1.5,-1.875
-1.5,-1.5625,0.0,-1.5625,1.5,-1.5625
-1.5,-1.25,0.0,-1.25,1.5,-1.25
-1.5,-0.9375,0.0,-0.9375,1.5,-0.9375
-1.5,-0.625,0.0,-0.625,1.5,-0.625
-1.5,-0.3125,0.0,-0.3125,1.5,-0.3125
-1.4999632324541081,0.010502441898106826,0.0,9.797174393178826e-16,1.4999632324541081,-0.010502441898104866
-1.49531232347445,0.29840221124221833,0.0039475170741472,0.2512860726250259,1.5032073576227445,0.20416993400783345
-1.4812539200685797,0.59650993552848,0.015786172573827528,0.5023241562345087,1.5128262652162348,0.40813837694053734
-1.4578386637292597,0.8940289765258875,0.03550428317536003,0.7528665065481148,1.5288472300799798,0.6117040365703421
-1.4250896624875389,1.1906657188608936,0.06308238948417788,1.0026658685144363,1.5512544414558946,0.814666018167979
-1.3830392356538082,1.486127417882193,0.09849327523889873,1.2514757203218478,1.5800257861316056,1.0168240227615026
-1.3317288819225428,1.7801224885643834,0.14170199417049023,1.4990505166857966,1.6151328702635233,1.2179785448072098
